,Country,Country Code,Year,GDP,Topic,Gender,PISA-Score
252,Portugal,PRT,2003,20827.98424,PISAMATH,GIRL,460.0
253,Portugal,PRT,2003,20827.98424,PISAMATH,TOT,466.0
254,Portugal,PRT,2003,20827.98424,PISAREAD,BOY,459.0
255,Portugal,PRT,2003,20827.98424,PISAREAD,GIRL,495.0
256,Portugal,PRT,2003,20827.98424,PISAREAD,TOT,478.0
257,Russian Federation,RUS,2003,9254.560297,PISAMATH,BOY,473.0
258,Russian Federation,RUS,2003,9254.560297,PISAMATH,GIRL,463.0
259,Russian Federation,RUS,2003,9254.560297,PISAMATH,TOT,468.0
260,Russian Federation,RUS,2003,9254.560297,PISAREAD,BOY,428.0
261,Russian Federation,RUS,2003,9254.560297,PISAREAD,GIRL,456.0
262,Russian Federation,RUS,2003,9254.560297,PISAREAD,TOT,442.0
263,Slovak Republic,SVK,2003,14165.4041,PISAMATH,BOY,507.0
264,Slovak Republic,SVK,2003,14165.4041,PISAMATH,GIRL,489.0
265,Slovak Republic,SVK,2003,14165.4041,PISAMATH,TOT,498.0
266,Slovak Republic,SVK,2003,14165.4041,PISAREAD,BOY,453.0
267,Slovak Republic,SVK,2003,14165.4041,PISAREAD,GIRL,486.0
268,Slovak Republic,SVK,2003,14165.4041,PISAREAD,TOT,469.0
269,Sweden,SWE,2003,31583.04807,PISAMATH,BOY,512.0
270,Sweden,SWE,2003,31583.04807,PISAMATH,GIRL,506.0
271,Sweden,SWE,2003,31583.04807,PISAMATH,TOT,509.0
272,Sweden,SWE,2003,31583.04807,PISAREAD,BOY,496.0
273,Sweden,SWE,2003,31583.04807,PISAREAD,GIRL,533.0
274,Sweden,SWE,2003,31583.04807,PISAREAD,TOT,514.0
275,Turkey,TUR,2003,9603.880437,PISAMATH,BOY,430.0
276,Turkey,TUR,2003,9603.880437,PISAMATH,GIRL,415.0
277,Turkey,TUR,2003,9603.880437,PISAMATH,TOT,423.0
278,Turkey,TUR,2003,9603.880437,PISAREAD,BOY,426.0
279,Turkey,TUR,2003,9603.880437,PISAREAD,GIRL,459.0
280,Turkey,TUR,2003,9603.880437,PISAREAD,TOT,441.0
281,United States,USA,2003,39496.48588,PISAMATH,BOY,486.0
282,United States,USA,2003,39496.48588,PISAMATH,GIRL,480.0
283,United States,USA,2003,39496.48588,PISAMATH,TOT,483.0
284,United States,USA,2003,39496.48588,PISAREAD,BOY,479.0
285,United States,USA,2003,39496.48588,PISAREAD,GIRL,511.0
286,United States,USA,2003,39496.48588,PISAREAD,TOT,495.0
287,Australia,AUS,2006,34306.65231,PISAMATH,BOY,527.0
288,Australia,AUS,2006,34306.65231,PISAMATH,GIRL,513.0
289,Australia,AUS,2006,34306.65231,PISAMATH,TOT,520.0
