,Country,Country Code,year,GDP,LOCATION,INDICATOR,SUBJECT,TIME,Value
159,France,FRA,2003,28141.4614,FRA,PISAMATH,BOY,2003,515.0
160,France,FRA,2003,28141.4614,FRA,PISAMATH,GIRL,2003,507.0
161,France,FRA,2003,28141.4614,FRA,PISAMATH,TOT,2003,511.0
162,France,FRA,2003,28141.4614,FRA,PISAREAD,BOY,2003,476.0
163,France,FRA,2003,28141.4614,FRA,PISAREAD,GIRL,2003,514.0
164,France,FRA,2003,28141.4614,FRA,PISAREAD,TOT,2003,496.0
165,Greece,GRC,2003,23870.1601,GRC,PISAMATH,BOY,2003,455.0
166,Greece,GRC,2003,23870.1601,GRC,PISAMATH,GIRL,2003,436.0
167,Greece,GRC,2003,23870.1601,GRC,PISAMATH,TOT,2003,445.0
168,Greece,GRC,2003,23870.1601,GRC,PISAREAD,BOY,2003,453.0
169,Greece,GRC,2003,23870.1601,GRC,PISAREAD,GIRL,2003,490.0
170,Greece,GRC,2003,23870.1601,GRC,PISAREAD,TOT,2003,472.0
171,Hungary,HUN,2003,15464.17155,HUN,PISAMATH,BOY,2003,494.0
172,Hungary,HUN,2003,15464.17155,HUN,PISAMATH,GIRL,2003,486.0
173,Hungary,HUN,2003,15464.17155,HUN,PISAMATH,TOT,2003,490.0
174,Hungary,HUN,2003,15464.17155,HUN,PISAREAD,BOY,2003,467.0
175,Hungary,HUN,2003,15464.17155,HUN,PISAREAD,GIRL,2003,498.0
176,Hungary,HUN,2003,15464.17155,HUN,PISAREAD,TOT,2003,482.0
177,Indonesia,IDN,2003,5323.104507,IDN,PISAMATH,BOY,2003,362.0
178,Indonesia,IDN,2003,5323.104507,IDN,PISAMATH,GIRL,2003,358.0
179,Indonesia,IDN,2003,5323.104507,IDN,PISAMATH,TOT,2003,360.0
180,Indonesia,IDN,2003,5323.104507,IDN,PISAREAD,BOY,2003,369.0
181,Indonesia,IDN,2003,5323.104507,IDN,PISAREAD,GIRL,2003,394.0
182,Indonesia,IDN,2003,5323.104507,IDN,PISAREAD,TOT,2003,382.0
183,Ireland,IRL,2003,36237.77128,IRL,PISAMATH,BOY,2003,510.0
184,Ireland,IRL,2003,36237.77128,IRL,PISAMATH,GIRL,2003,495.0
185,Ireland,IRL,2003,36237.77128,IRL,PISAMATH,TOT,2003,503.0
186,Ireland,IRL,2003,36237.77128,IRL,PISAREAD,BOY,2003,501.0
187,Ireland,IRL,2003,36237.77128,IRL,PISAREAD,GIRL,2003,530.0
188,Ireland,IRL,2003,36237.77128,IRL,PISAREAD,TOT,2003,515.0
189,Iceland,ISL,2003,32619.35874,ISL,PISAMATH,BOY,2003,508.0
190,Iceland,ISL,2003,32619.35874,ISL,PISAMATH,GIRL,2003,523.0
191,Iceland,ISL,2003,32619.35874,ISL,PISAMATH,TOT,2003,515.0
192,Iceland,ISL,2003,32619.35874,ISL,PISAREAD,BOY,2003,464.0
193,Iceland,ISL,2003,32619.35874,ISL,PISAREAD,GIRL,2003,522.0
194,Iceland,ISL,2003,32619.35874,ISL,PISAREAD,TOT,2003,492.0
195,Italy,ITA,2003,29164.59527,ITA,PISAMATH,BOY,2003,475.0
196,Italy,ITA,2003,29164.59527,ITA,PISAMATH,GIRL,2003,457.0
197,Italy,ITA,2003,29164.59527,ITA,PISAMATH,TOT,2003,466.0
198,Italy,ITA,2003,29164.59527,ITA,PISAREAD,BOY,2003,455.0
199,Italy,ITA,2003,29164.59527,ITA,PISAREAD,GIRL,2003,495.0
200,Italy,ITA,2003,29164.59527,ITA,PISAREAD,TOT,2003,476.0
201,Japan,JPN,2003,28924.68216,JPN,PISAMATH,BOY,2003,539.0
202,Japan,JPN,2003,28924.68216,JPN,PISAMATH,GIRL,2003,530.0
203,Japan,JPN,2003,28924.68216,JPN,PISAMATH,TOT,2003,534.0
204,Japan,JPN,2003,28924.68216,JPN,PISAREAD,BOY,2003,487.0
205,Japan,JPN,2003,28924.68216,JPN,PISAREAD,GIRL,2003,509.0
206,Japan,JPN,2003,28924.68216,JPN,PISAREAD,TOT,2003,498.0
207,"Korea, Rep.",KOR,2003,21376.76617,KOR,PISAMATH,BOY,2003,552.0
208,"Korea, Rep.",KOR,2003,21376.76617,KOR,PISAMATH,GIRL,2003,528.0
209,"Korea, Rep.",KOR,2003,21376.76617,KOR,PISAMATH,TOT,2003,542.0
210,"Korea, Rep.",KOR,2003,21376.76617,KOR,PISAREAD,BOY,2003,525.0
211,"Korea, Rep.",KOR,2003,21376.76617,KOR,PISAREAD,GIRL,2003,547.0
212,"Korea, Rep.",KOR,2003,21376.76617,KOR,PISAREAD,TOT,2003,534.0
213,Luxembourg,LUX,2003,60039.29874,LUX,PISAMATH,BOY,2003,502.0
214,Luxembourg,LUX,2003,60039.29874,LUX,PISAMATH,GIRL,2003,485.0
215,Luxembourg,LUX,2003,60039.29874,LUX,PISAMATH,TOT,2003,493.0
216,Luxembourg,LUX,2003,60039.29874,LUX,PISAREAD,BOY,2003,463.0
217,Luxembourg,LUX,2003,60039.29874,LUX,PISAREAD,GIRL,2003,496.0
218,Luxembourg,LUX,2003,60039.29874,LUX,PISAREAD,TOT,2003,479.0
219,Latvia,LVA,2003,11010.88527,LVA,PISAMATH,TOT,2003,483.0
220,Latvia,LVA,2003,11010.88527,LVA,PISAREAD,TOT,2003,491.0
221,Mexico,MEX,2003,11482.44959,MEX,PISAMATH,BOY,2003,391.0
